comment_id,comment,topic,opportunity_area
892,"Information Systems

Unified information hierarchy with verification protocols
WhatsApp communication system for all neighborhoods
Information aggregator across platforms (TCEP, Facebook, Nextdoor)
Video update system from cameras throughout the canyon
Watch Duty app integration for real-time updates

Community Connections

Neighborhood buddy system for checking on each other
Talent and resource directory organized by zone
""Know your neighbors"" initiatives
Monthly preparedness to-do lists
Annual neighborhood gatherings

Technical Solutions

Meshtastic.org mesh network for emergency text communications
Local emergency co-citizen news and action hub
Silver Lake walkie-talkie system for local coordination
Starlink hubs with batteries at key ca",Emergency planning & community safety,
891,"Community Readiness

Enhanced personal go-bags with detailed exit plans
Strike teams for seniors and vulnerable populations
Support for unhoused and day workers regarding emergency preparedness
Community patrol expansion (more Arson Watch volunteers)
Training for a civilian crisis ""junior brigade"" (more affordable than current $5,000 course)
Inventory of residents who plan to stay during evacuations
Coordinated training with existing organizations like TCEP",Climate & community resilience,
890,"Funding for communities to engage organizers and facilitators to act as paid (not volunteer, as is the Topanga Town Council, Chamber of Commerce, Emergency Preparedness (TCEP), elderly support (SAGES) - to bring community leaders together, to interface with govt agencies.
There should be a team specifically dedicated to coordination and communications as soon as a fire or other crisis strikes.
We need a unified 'easy to use' communications system for communities in crisis, including a clear and well organized hierarchy for distributing communications & a neighborhood/zone system that people are already enrolled in prefire. Cellular systems or mesh net wifi should be available for text only communications throughout the city and county.",Climate & community resilience,Individual or collective responsibility for fire prevention
889,"Super infrared detectors with AI intelligence to notice ANY dangerous signs of heat, fire, smoke and signal an immediate response from a 'SWAT' team that is entirely focused and on alert to snuff out any fires or flames before they can spread. Or issue tickets and fines, even prison, for anyone lighting dangerous fires. Northern US and canadian cities divert construction infrastructure to snow removal in winter. We must divert resources & attention to be on hyper alert & vigilance in dry high fire risk",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
888,Invest in Community Land Trusts. Rebuild affordable housing for all. Protect the most vulnerable. Housing is a human right.,Financial & legal assistance,
887,Support for not just homeowners and landlords in the 'burn scar' but in the entire community where long and short term renters leave..,Economic recovery & small business support,
886,"Kill all lawns. We must change the culture of turf lawns and instead normalize the use of California native plants. They save on water, are already adapted to the environment, provide wildfire resilience, and support local ecology. It is scientific fact that a diverse population thrives - therefore a more biodiverse environment is more resilient to threats. Yes - brush clearance is needed, but education and implementation of native landscapes comes hand-in-hand. In terms of accountability - hold the utility companies accountable. Do not let them get away with their negligence. They must pay.",Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
885,"LA County Building and safety, and frankly the county system is absurdly anti-democratic. LA has 5 supervisors managing a $50B budget with no council, no division of powers, no significant independent oversight, no empowered citizen ombudsman, anticorruption. 

We need a standing citizen council/assembly with representatives from every neighborhood in 18 month cycles that overlap for 4-6 months to generate diverse stakeholder solutions, review of monopoly agencies, utilities, etc. 

These emergencies have been happening and worsening, the response - other than Bravo 69 - has been worsening. Same with education stats and performance. Same with Health, Affordable Housing and Homelessness. Representatives and govt NEED much more citizen input.",Financial & legal assistance,
884,And not just fire resistant - we need fire shelters in every part of the city because if... Palisades happened after midnight - many people would have died. We can and must avoid a Paradise disaster.,Housing & rebuilding,Rebuild quickly or rebuild for resilience
883,"Yes, when it happens. But if we Make massive fires impossible or near impossible, this isn't even needed.  Unlike earthquakes, hurricanes and mudslides - FIRES ARE ENTIRELY SNUFFABLE AND PREVENTABLE",Debris removal & environmental recovery,Individual or collective responsibility for fire prevention
882,"How much longer must the public die at the hands of private corporations? Enough is enough. Create public utility systems now. It will create more jobs and will (hopefully) be updated and cared for better than private corporations ever have. Also, make internet access a human right and also a public utility. To only have one option in an area means these private corporations can charge whatever they want. It's 2025 - the internet should be accessible to all. For managing our water systems - look to Tucson, AZ. They sequester more than enough rain water to last them all year. As droughts get worse, we must sequester as much water as possible, instead of having it wash away into the ocean. There are solutions, we just need to implement them.",Infrastructure & utilities restoration,Public or private sector responsibility for utilities and infrastructure
881,"Private insurers are leaving the state. Fair plan is already at risk of insolvency. We cannot afford to have to rebuild whole towns - and DESTROY whole communities and culture. Insurers, the state and especially RE-INSURANCE co's have every reason to invest substantially to reduce the risk to near zero of fires that spread to any residential area in LA County. 

Every home at the perimeter should have subsidized water and retardant systems, detectors and a wide boundary around these residential areas should have thorough brush clearance (Goats, sheep, fairly paid incarcerated) to inhibit the spread of fire from starting conflagration - where hot burning homes ignite homes from high infrared, not even sparks needed. 

HUGE VALUE & ROI",Emergency communication,Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
880,"It is utterly inexcusable that in the 21st century - literally tens if not hundreds of billions invested in tech; drone weapons of all kinds - California doesn't own one Super Scooper. Why not hundreds of drone Scoopers - winged or not? Super infrared detectors with AI intelligence to notice ANY dangerous signs of heat, fire, smoke and signal an immediate response from a 'SWAT' team that is entirely focused and on alert to snuff out any fires or flames before they can spread. Or issue tickets and fines, even prison, for anyone lighting dangerous fires. 
North East and canadian cities divert construction infrastructure to snow removal. We must divert resources & attention to be on hyper alert & vigilance in dry high fire risk.",Emergency communication,Individual or collective responsibility for fire prevention
879,"Emergency sirens must be built. Too many people lost their lives because they did not hear or receive an emergency notification on their phones. Also - limiting your warning system to a smartphone notification is classist. What if people don't have a smartphone, how will they be notified? Create physical emergency siren alarm systems around the county. It's the only way.",Emergency communication,
878,"There were too many articles being written about how severely understaffed the L.A. Fire Department is in regards to the area they serve. Staff appropriately. This seems like a no brainer seeing as we already passed the 1.5C threshold of global warming, which means our fire seasons will only get worse. Create an actual physical emergency system (like the ones they built in areas of the country that experience tornadoes). We need a better way. Also - the state needs to make a concerted effort to GET RID OF LAWNS. Stop using up all our water to water grass lawns. We need to educate people about the importance of planting NATIVE PLANTS. They are adapted to the region, save water, and provide fire resilience. It's a win for everyone!",Emergency planning & community safety,Individual or collective responsibility for fire prevention
877,"And the cellular/wifi system needs to have local power backup, and redundancy in case nodes go down.

We need fire shelters in every at risk area... and these might as well be ultra fast track permitted little unit ADUs - affordable housing and fire shelters in one solution. With pressurized air. Also could serve as wifi/cel backup nodes to be in communications. Accessible to first responders and especially to residents in conditions that move to fast... 

Places like Topanga in the 'urban-wilderness interface' were considered high risk. As we just learned, any neighborhood with trees - at least HALF of LA - is now as higher or higher risk because closer structures are susceptible to conflagration",Emergency communication,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
876,"Funding for communities to engage organizers and facilitators to act as paid (not volunteer, as is the Topanga Town Council, Chamber of Commerce, Emergency Preparedness (TCEP), elderly support (SAGES) - to bring community leaders together, to interface with govt agencies.

There should be a team specifically dedicated to coordination and communications as soon as a fire or other crisis strikes.

We need a unified 'easy to use' communications system for communities in crisis, including a clear and well organized hierarchy for distributing communications & a neighborhood/zone system that people are already enrolled in prefire. Cellular systems or mesh net wifi should be available for text only communications throughout the city and county.",Emergency communication,
875,"I was in a fire recovery support group, and hearing the stories of people waiting in lines for vouchers for 8 hours is a joke. Working class people don't have the time for that. Older people shouldn't have to stand in a line for that long. And the people waiting in that line weren't even all guaranteed relief! The whole day passed and people after the 400th person were denied. Also - of the people who received relief vouchers, they then had to go to a Walmart to cash them (which some employees didn't even know how to do). There is one too many steps involved. A relief voucher should be minimal steps. What if people don't have easy access to transportation? And why is the government relying on private corporations? It's just so dystopic.",Economic recovery & small business support,Public or private sector responsibility for utilities and infrastructure
874,"The protections for renters and regulations makes it unconvenient to rent them. The ""protections"" needs to be lifted, so more people will be able to access housing. It is better to have less protections and be housed than be homeless!",Housing & rebuilding,
873,"We need a better emergency system. California currently does not have any emergency preparedness system. The L.A. County digital broadcast was a joke - either going off every hour or being sent out to areas not even effected. After the third false alarm, you start to believe the government is playing wolf. How was this allowed? How is it the areas of Tornado Alley in the country have loud emergency systems, yet we do not? We need that as well. What if people don't have a smartphone? How will they ever be notified? WE NEED A BETTER WAY.",Climate & community resilience,
872,"Remediation is essential to rebuild a healthy, thriving ecosystem. If Water, Air, and Soil are toxic, all living lifeforms will perish.",Debris removal & environmental recovery,
871,Government should step in above greedy developers to help survivors. There is no better time than now to start community land trusts while also building community public housing that serves everyone.,Housing & rebuilding,
870,"Let the market take care of the buildings! The government is inefficient. Reduce red tape, allow more and denser buildings, give more buildings permit. It is supply-demand! It will decrease prices for everyone. If Houston can do it, so can we!",Housing & rebuilding,"Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Making space for more residents, or limiting housing density"
869,"Clean the debris FAST. Waive permit fees for the people who are rebuilding, whether that means like for like or smaller or bigger than what they had. Direct GRANT to homeowners.",Prioritize recovery themes,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
868,Bury the power lines. DO NOT make the citizens pay for it.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
867,Direct financial assistance to residents. Many are uninsured or those who are will have a GAP in order to rebuild.,Financial & legal assistance,
866,Test and remediate  the soil after debris clean up.,Debris removal & environmental recovery,
865,"Unground power lines. Pay for it  DO NOT make the citizens pay for it. Use new technology ie drones to asses fire risk on windy Santa Ana days. Pre deploy the Fire Dept. Brush Clearance on city, county, and state land is a MUST.",Climate & community resilience,Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
864,"Pre deploy the fire department on windy days. We KNEW this was a historic wind event and there were ZERO fire fighters deployed in the Palisades area. Have all agencies communicating.. this was NOT happening. Have police in the area helping divert traffic. 23,000 people leaving the Palisades with only 2 ways out with ZERO help on the ground.",Emergency planning & community safety,
863,"The mail. I know that's a federal issue but for heavens sake the mail was a mess. 

Let state/county/city items be forwarded. 

I have been fighting with mail for months now. i tried putting a hold on it, but that didn't work. Then i tried forwarding to an accessible mail place, but most government mail isn't allowed to be forwarded so I would apply for help and kept getting notified that I had address issues and would be disqualified from programs etc. I would tell them ""I'm evacuated/displaced and getting mail forwarded"" but it caused a massive issue. It still is causing delays, cancellations, and confusion.",Prioritize recovery themes,
862,"Having a list of people who can help with this available on a post-fire/post-disaster app (like Watch Duty except post disaster) would be helpful. Places that are registered with the county/state/city.

I run a non-profit that offers free online and ongoing grief recovery sessions and wanted to expand the free offerings and publicize but have no idea where to offer that in a way that is safe, accessible.",Emotional & mental health support ,
861,Clear the business areas that burned. Army Core is not contracted to do this and we must clear in order to rebuild.,Economic recovery & small business support,Rebuild quickly or rebuild for resilience
860,"An eviction moratorium should go into effect for two months in a county whenever there is natural disaster. Then it can be fine-tuned and continued more specifically after the first 2 months. We had 3 fires going at once, hundreds of thousands getting displaced and evictions were still going on. Ridiculous.

ADUs should be allowed. 

Those of us in apartments are just getting forced out. The ash remediation was just not done and we had no help addressing it. AS tenants we had no ability to handle this ourselves. We were reliant on ownership who were so busy seeing dollar signs for potential rent they just didn't care.",Housing & rebuilding,
859,"I think this was well done. Fire coordinates across state, local, federal, and multiple jurisdiction better than any other group I have ever seen.",Emergency planning & community safety,
858,"Everyone is financially stressed by this. Being self-employed is tough but especially when the documentation for assistance is based on paperwork that you wouldn't normally have. Adjust the requirements. I can't prove paychecks, or - as requested - prove lack of paychecks (impossible to prove a negative) to get assistance. Or provide a named location for work when I worked from home (and computer doesn't recognize that as a location) SoCal is known for its entrepreneurialism but then focuses on paperwork of employee status.",Economic recovery & small business support,
857,Brush clearance on city/county/state land. That is THE problem.,Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
856,WE need ways to test water and air post fire. Our current testing doesn't address the toxins and particles after fire. Fire is part of our lives so we need to adapt our testing.,Debris removal & environmental recovery,
855,"AS a tenant in Santa Monica I was flat out of luck. I just had to move out of my unit two weeks ago because the owner was refusing to do the needed ash mitigation and refused to speak about it. Because I was 1 block outside ""the fire zone"" I didn't qualify for help even though had an apartment filled with ash. Fights with landlord ensued and there was no protection from eviction.

Nearby communities are impacted too. I get that the line has to be drawn somewhere but this is ridiculous.

So exhausted with having had a huge impact but no help because I am one block out of zone and had an apartment.

I have some ALE but it took a long while to kick in and I had no idea how to navigate it. I still need help understanding how insurance can help",Financial & legal assistance,
854,Ask Cal FIRE what they need and give it to them,Climate & community resilience,
840,Legal aid necessary,Financial & legal assistance,
839,Build SROs,Housing & rebuilding,"Making space for more residents, or limiting housing density"
838,Bury ALL power lines. No overheads. Ensure future safety.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
837,Sufficient water pressure during the next wildfire.,Emergency communication,
836,"Altadena doesn't have a local government to speak of. 
More safety regulations are better, but they should be made convenient to implement rather than bureaucratic brick walls.",Prioritize recovery themes,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
835,Dictate power shutoff countywide anytime there is strong wind. We keep repeating this risk like we can't learn from mistakes.,Infrastructure & utilities restoration,
834,Pre-permitted ADU designs. Most folks are not picky about how an ADU looks- they want fast build and understandable regulations- so they can earn rent.... which creates more housing in LA.,Housing & rebuilding,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
833,Cell phone alerts do not work in the middle of the night.  We need loud sirens as used for tornado warnings. Sirens can be installed in cell towers.,Emergency communication,
832,Sprinklers inside and out.  Rules for removing all flammable materials from house perimeter. Vents at chest level so they can be sealed conveniently as necessary. Instructions and training on how to do this for homeowners and renters.,Financial & legal assistance,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
831,"Near a city, regular controlled fires when weather is cooperative should be implemented. Cloud seeding should start in December.  All of LA is a dry zone...let's not stand by and watch it burn again and again when we know how to remove fuel for fires.",Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
830,Require SCE to bury ALL power lines. Make utilities publicly owned.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
829,"Renters were the most badly hurt while landlords claimed insurance money.  

More education about need for renters insurance is needed.  Earthquake policy is available from the state for homes (landlords). Loss of use policy should be offered to all renters.",Economic recovery & small business support,Public or private sector responsibility for utilities and infrastructure
828,Test & remediate soil for asbestos and heavy metals.,Debris removal & environmental recovery,
827,"More education about fire prevention, such as removing furniture and storage from the house perimeter, not using wood for fences, maintaining fire extinguishers, fireproof vents, etc should be required by the county and inspected by insurance companies. 

Insurance companies already check for overhanging trees, which is a similar risk issue.  Aftermarket sprinklers should be required inside and outside the house.  

A siren alarm system such as that for tornadoes in other states is not costly. Cell phone alerts are not appropriate for middle of the night event.

My neighbors saved their houses by dousing small fires all night long.  When we are ordered to evacuate, the fire dept took the responsibility to save our homes.....and failed.",Emergency planning & community safety,Individual or collective responsibility for fire prevention
826,"Immediately clear the properties on PCH on reopen the road. Cal Trans wants to put in bike lanes and sidewalks before opening. We do not need that. We need a wider road for safety, not narrower lanes. We also need an emergency permit for a sewer in east Malibu to handle the rebuilds.  600 or more new individual septic systems makes no sense whatsoever.",Emergency communication,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
825,"Fire victims will not be able to make well-considered decisions about how to move forward if they are traumatized and hurting. We need to make people whole -- mental health services, support groups, somatic therapy, all of this needs to be available at low or no cost to people affected by the fires.",Emotional & mental health support ,
824,Yes. Diversity is what makes Altadena special.,Financial & legal assistance,
823,"This right here. What am I investing this time and money in, if the property is then uninsurable?",Financial & legal assistance,Public or private sector responsibility for utilities and infrastructure
822,"The plain fact is that NO ONE can afford this. Altadena residents who lost their homes need money, we need grants marked for individuals and families, not agencies/charities (where the donated funds go God knows where). We can't do this alone. My family is in a relatively privileged position where we had insurance and did not lose our jobs, but we don't know if we will be able to afford to rebuild. If we can't afford it, who can? What will our town be if it's just turned over to deep pocketed developers? We need help, and direct financial assistance to residents is the only way to preserve this town.",Financial & legal assistance,Individual or collective responsibility for fire prevention
821,"Things to be addressed first in recovery:
1- Priority #1: Make sure all toxic debris has been cleared out (including charred structures, cars, and flora/trees). There should also be thorough environment analysis of the topsoil in: PP, Malibu, and Altadena- to make sure there are no toxins hiding in the ground that could lead to increased cancer rates in the future.
2-Secondary priority: Make sure that current occupants/tenants/homeowners DO NOT LOSE THEIR HOMES. Mandatory moratorium on mortgage payments and rent for the rest of 2025. People should not be made to pay for property that is burned out. 
3-Teritary priority: Generous assistance for home insurance policyholders as they attempt to rebuild (maybe ~$50k per household?)",Prioritize recovery themes,
819,Give small businesses interest-free loans to rebuild. Maybe lessen their state and local tax burden for the next 2-3 years.,Economic recovery & small business support,
818,There should be firebreaks. Clear forest from nearby subdivisions and communities. Clear underbrush from forest floors. Consider prescribed burns.,Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
817,"Consider alternative home-building techniques. Maybe utilization of brick/mortar construction or more flame-resistant, non-cancerous materials. Of course, remember that this must be balanced against being earthquake-resistant as well, given the location/geography.",Climate & community resilience,Rebuild quickly or rebuild for resilience
816,"Things to be addressed first in recovery: make sure all toxic debris has been cleared out (including charred structures, cars, and flora/trees). There should also be thorough environmental analysis of the topsoil in: the Palisades, Malibu, and Altadena- to make sure there are no toxins hiding in the ground that could lead to increased cancer rates in the future.",Debris removal & environmental recovery,
815,The county will be the largest barrier to rebuilding and they need to be honest with the people. It will be their fault people sell.,Prioritize recovery themes,Rebuild quickly or rebuild for resilience
814,Part of me will never forgive the county's utter failure in protecting the people of West Altadena. Literally ANY alert system would be better than what was done for us.,Emergency planning & community safety,
813,My ALE is limited. I need a somewhere to go once it is out.,Housing & rebuilding,
812,"Please offer generous assistance programs to homeowners/entities who are confirmed to have lost their homes in the fires. I understand that not everyone can be fully compensated (California does not have the $ for that), but maybe a base, across-the-board $25000-30000 compensation check?",Financial & legal assistance,
811,"The government did not do their job yet they require all of us to jump through hoops to get back on the land that they let burn. Fire hydrants didn’t work, why do we need fire sprinklers and the extra permit for that when they wouldn’t have save our homes anyway.",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
810,"In Sacramento CA, a suburb that I grew up uses a facebook-like app called ""Nextdoor"" where people can get in contact with one another regarding community news. Maybe establish something similar for Los Angeles.",Emergency communication,
809,"We can't rebuild alone. We need help from EVERYONE -- the state and county government, from public donors, from community groups, and most of all each other. There are resources available but information about and access to services is all over the place. We desperately need a functioning hub with vetted information that will put us in contact with each other and provide information on how to access additional funding and support. And that hub MUST be virtual -- many of us had to move far away to find affordable housing and can't attend in person events.",Emergency communication,
808,Consider using this opportunity to bury all community power lines (as is done elsewhere). Consider sourcing water from the Pacific ocean (via desalination) if the area groundwater aquifers are negatively impacted as a result of the fires.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
807,The fire fighters did not evacuate our area and then they watched our city burn to the ground. It is shameful and tragic that lives were lost due to the incompetence.,Emergency planning & community safety,
806,Clean the lots near standing homes first so they can get back to the community!!,Debris removal & environmental recovery,Rebuild quickly or rebuild for resilience
805,"Eliminate the need for personal property inventory to get one’s entire personal property coverage! Studies show creating that list is the most traumatic part of recovery. We didn’t pay 75% of our insurance premium, why do we only get 75% of our coverage without being forced to do something so traumatic?!",Financial & legal assistance,Public or private sector responsibility for utilities and infrastructure
804,"The information I e seen varies from different sources on the same topic and gets very confusing. Information needs to be accurate the first, and every, time it is disseminated",Emergency communication,
802,This is the perfect opportunity to bury all power lines. The cost of this should be shouldered by the utility companies and not by increasing fees to the consumer.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
801,"Preventing future disasters should be 1st priority. Get power lines underground, create highly accessible documentation around how to build a fire-resistant home, enforce new landscaping regulations to minimize spread potential.

Refining our ability to respond should they arise again should be 2nd. Provide LA residents with a 5-minute video explaining what to do in case of a future fire, perform an in-depth postmortem analyzing the emergency team response and determine any process changes that should be made.",Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
800,As a pool owner in the Eaton fire area. I'm concerned about mosquitoes. I can't do anything about my pool and not sure if anything can be done to prevent mosquitoes from growing in it. Are there any resources or way to prevent mosquitoes. I know my neighbors also have pools and have the same questions.,Emergency communication,
799,"One area of enormous opportunity, with relevance to building codes, zoning, insurance and more, is seeking to systematically leverage the incredibly exciting advancements happening in the material sciences.  The news and announcement webpages of most (if not all) of our major goverment research labs, and many, many of our major research universities, are regularly peppered with summaries of material developments or breakthroughs in these fields having potential application to the built environment; whether for durability, for ability to sequester carbon, for ability to withstand high temperatures (i.e., fire resistent).  These pages often end with contact information to learn more and/or seek technology licensing.",Prioritize recovery themes,Rebuild quickly or rebuild for resilience
791,"Given the common occurrence of high winds in the area, it is irresponsible that any utility lines are still allowed above ground. Power and other utilities should not have to be shut off to protect people during storm events when they may be the most needed. Companies which have chosen to allow their infrastructure to grow so out of date should not be allowed to pass the high cost of now updating them to customers.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
787,"Having scanned this entire page of themes, I will mark each as Very Important or Essential, but with a major caveat related directly to the emphatic recommendation offered on the previous page to make creation of the kind of ""renewal engine"" described by author Storm Cunningham the first and top priority.  Why?  A key point of emphasis for a well designed and implemented ""renewal engine"" is always the concept of integration.  In this context, the issue is less one of whether each of these themes is worthy, important and/or even essential, and much more how the integration of their implementation serves the vision which is the sine qua non of a true ""renewal engine"".   Doing so means that the whole will be much greater than the sum of parts.",Infrastructure & utilities restoration,
786,Let people rebuild historical homes without excess modern restrictions and codes. There must be room for nuance.  The State must empower local governments to be able to have their communities have a say in what this rebuild looks like.,Prioritize recovery themes,Rebuild quickly or rebuild for resilience
785,"Why did the water run out?

There needs to be a State/Federal inquiry and investigation into why that happened and how to prevent it from ever happening again.   

We must build more fire prevention and water delivery systems into the existing infrastructure, via community based sprinklers that can activated on demand by Fire Dept officials.  Instead of waiting for the fire department, infrastructure can be built to combat fire remotely on a grand scale, especially in communities that are high risk.  

But there needs to be water.",Wildfire prevention prioritization & accountability,
784,"The power lines in Altadena MUST BE BURIED. The transmission lines that run along the foothills must be rerouted. 

This Eaton Fire distaster cannot be allowed to happen again because a utility failed to de-energize the transmission lines.  That is no longer a tolerable scenario.  

The County, State and Federal Government must support this.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
783,"There are many interesting technologies out there. Supporting ones that merge sustainability, passive house construction and other fire prevention methods are important to protecting these communities to be better equipped for future threats.",Climate & community resilience,
782,"Alterts did not go out for people in Altadena living East of Lake until it was too late for many. With a propely working altert system, we may have been able to avoid many of the deaths that occurred due to the Eaton Fire.  

Additionally, instead of waking up to fire in the middle of the night, people could have had time to pack and evacuate, or water the property and try to defend their homes.",Emergency planning & community safety,
781,"If all of the homes that will be rebuilt are required to have sprinklers and water systems, then the State of California needs to subsidize the added cost of that for rebuilding survivors of the fires.  

Or, waivers need to be given so that the County of LA can allow its communities to rebuild many of the historic homes that were lost, without adding to the burden of the rebuild.  

This can be addressed in many ways, via grants, tax rebates and tax amnesty programs.",Financial & legal assistance,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
780,"The Army Corps is not funded nor has a mandate to help commercial properties, churches and other non residential properties.  

How can we say our communities are safe if all the commercial district cleanup efforts are handled by commercial property owners.  

There must be support for this, if we want economic recovery to return to these affected communities.  

Phase 2 of the cleanup may be complete by Jan 6th 2026, but if the commercial zones are not cleaned, we will have large areas that will continue to contaminate the rest of the community. 

Why did the State of California not ask FEMA and the Federal Government for assistance in this type of aid?",Economic recovery & small business support,
779,"There needs to be established guidelines and protocols for how to react to a disaster like this. Finding that there are no State Guidelines for deployment of Air/Soil/Water testing after a disaster is something that must be addressed.  These is not be the last fires in an urban setting, so we must ensure that when this happens again, that community is better suited to be supported.  We have the right to know if our communities are safe, the burden rests on the Government not groups of citizens stepping up in a vacuum to provide this data collection, mapping and distribution of results.",Debris removal & environmental recovery,
778,"Support for orgs that are already in this space, access to grants and funding for the continuing of their current missions. The community teams and grief brought on by these fires is overwhelming and needs to be addressed.",Emotional & mental health support ,
777,"Insurance companies should be held responsible for paying the claims on the policies that they willingly sold to residents in the affected areas.  But we also have to acknowledge that they are beholden to their shareholders and will non-renew or exit CA if they can't make a profit.

It could help to require insurance companies to offer incentives for more fire-resistant construction.  Loosening regulations on the insurance industry is something I'm hesitant to support, but if insurance rates are determined by market forces and not a government commission, it could lead to more companies entering the market which would keep prices in check.  Rates will still be higher, but CA rates are lower than many other states with lower disaster risk.",Financial & legal assistance,Public or private sector responsibility for utilities and infrastructure
776,"We need to invest into a STRONG community based app that ensures all government updates are being sent out. Similar to amber alerts, an app with news, similar to apps like Straight Arrow News, and community Instagram pages like The Source LA, but in a government ran app with main focuses on transparency and strategic plan sharing. Including spaces for communities to connect with resources, and local spaces. Something efficient and easy to navigate unlike current resources.",Emergency communication,
774,"We can't rebuild in the same old fashion, with the same materials and the same landscaping.  It is possible to design a house that is resistant to fires - there was at least one good example in the Palisades that demonstrated how thoughtful adaptation can save a home.",Climate & community resilience,Rebuild quickly or rebuild for resilience
773,Rebuilding is impacted by labor shortage and material cost. Is the state doing anything to help keep costs low despite the federal mandate of deporting laborers and enforcing tariffs on building materials?,Prioritize recovery themes,
772,"On the one hand I'm finding it easy to trust the army core. But on the other the reality of toxic ash covering the area it does leads me to believe that more can be done for testing. Insurance has basically refused it from that I can tell, and it's fallen on individuals to do testing to feel confident.  Still, the broad population with concerns about areas near schools (etc) means there is still a hearts and mind problem the government needs to solve for if they want people aligned with their stance on safety.",Debris removal & environmental recovery,Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
771,Create community service positions that pay full time allowing individuals who don't have educational barriers but rather a will to ensure the health of our community and planet. I believe we need to create less barriers such as requirements to prioritize the wellbeing of our state. We must accept individuals who have the right attitude and vision and prevent homelessness in communities as such.,Debris removal & environmental recovery,
770,In our case we are adding an ADU to stay on our property and avoid having to pay for a mortgage and rent elsewhere at the same time. However we're hearing that permitting is SLOW at the moment so are concerned.,Housing & rebuilding,Rebuild quickly or rebuild for resilience
769,This is a reality of California whether you believe in climate change or not.  Home owners should build back better. But also we need to hold utilities accountable.  In Altadena the brush near the power lines fueled the destruction. How that was allowed to happen is truly baffling.  Homeowners alone should not bear the brunt of being responsible for wildfire preparation.,Climate & community resilience,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
768,Third party mental health specialists will always be required in a crisis such as this. However the majority of what got us through this was from community connections.  Sponsoring events that give people a chance to meet and befriend their community would be powerful.,Emotional & mental health support ,
767,"Admittedly don't know enough here. Eaton fire started well outside of normal pedestrian infrastructure.  Only thing I can add here is that given that good fraction of the community has to start from scratch, now is a good time to revisit infra related issues such as underground power and better broadband.

The water utilities I have less info on. They seem to have bounced back pretty quickly but obviously lessons learned from this one should be considered.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
766,"I fear the small businesses still standing will be forced to close due to families being displaced. We are already seeing it with places like Mathnasium and CodeNinjas in Altadena.  Given the decimation of the schools and aftercare programs, and provided the air is deemed safe, a program to shuttle kids to such places could help them stay solvent.",Economic recovery & small business support,
765,"People were impacted differently. It would be good to review the different segments such as renters, smoked out but still standing, and total loss (among others). Each are experiencing different obstacles and the government could be better prepared in future wildfires by understanding the unique concerns of each.",Financial & legal assistance,
764,"In the Eaton fire, the cause appears to be from the utility. The press has outlined a number of issues known to be high risk that went unattended for years.  If the Government cannot hold utilities accountable and set higher standards, they will default to decisions that benefit profit over public safety.",Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
763,"I went through the Eaton fire so cannot comment on Palisades.  The press has reported what can only be described as a lack of coordination.  Alerts went out too late, police and fire acting independently, etc.",Emergency planning & community safety,
